level	file	count	bytes	sha256
1	levels/D01.bin	4	32	0e37d337015d595e2cb60f8d4519a6d98b6b6fabb1dc3d329966c2297bbc70c7
2	levels/D02.bin	14	112	7740127f65742c12cea4ba09ed31b0efbfe50d51c1563af3191f944398afdcf4
3	levels/D03.bin	58	464	eb7bedc61d0f1b81a47b84c25eb0529c846f56d019c182c53aacd0caaf999227
4	levels/D04.bin	221	1768	6053491a1c9f028512521f6a5c03366360a014cbd855e5e1e217f0f91ea9c47c
5	levels/D05.bin	911	7288	d462db9ce0e971a66d8797037e12c6edac3b573ba0d7a1b67d05a36f005d1b74
6	levels/D06.bin	3638	29104	e9d2f977b3769e4ca041db699cc776f899473c683e8e30c1cade875bf3af815f
7	levels/D07.bin	14687	117496	68394f0ff11c45f28e691330df1304ae86765c6d96665f09f7947b358195f27a
8	levels/D08.bin	61435	491480	06f82381d35b6cd41d562b5e8729577237728cadf69efc28239908fb6f567c5a
9	levels/D09.bin	262189	2097512	60b21f70dbe5d55c7d91fdfe0e5a160328dc836d37c60b50e6449454db9a191c
10	levels/D10.bin	1140171	9121368	cc0bb10dfcd61a01b4193abfd3153c032a876f5a1c32e4c5188d63448b29d63e
11	levels/D11.bin	5056361	40450888	38ffc99bf4836f551e856eced2079d2c841dd1d8e721e600bf4e119af0dd3a59
12	levels/D12.bin	22726556	181812448	42c916e29431c05cb431d9ca4750b117342cfcc149fc8ce5d490c6c207c40a7c
13	levels/D13.bin	103351642	826813136	69ff460d9198fbe42be26943e530262aae6385874eee8007807a4e4e95126595
14	levels/D14.bin	475048816	3800390528	13d23872161dcb2730fdb4b20cff363e205889298b29420d56c0abae8ba91aa4
